story,amountRaised,goal,url,campaignTitle,numberContributors,endDate,currencyType
"Hi, we are the # BCBabes from Breast Cancer Alternatives (see
  link below), we are curing ourselves...alternatively.  We have almost
  6000 members now, men and women, all stages, all walks, all
  everything.  Alternative works, no chemo, no radiation, no toxic
  drugs. Cancer is a systemic disease. We are healing
  the causes.  Rain Sanford has been with us since the beginning, she
  has fought hard, and has suffered a great deal.  Dara too is suffering
  with multiple mets, she has not been able to walk for three months,
  she is in crisis!!  They both need more of our help.  The sisterhood
  is trying to raise enough money, to buy a BioMat for both of them to
  help heal themselves.  BioMats cause far infrared heat...canTcer
  doesn't like heat (see link).  Then, we want to share them...a
  LoanerMats...to the other members who are also struggling. Everyone gets a turn.  :) Please help us to help
  ourselves. Paypal is also accepted: fatoldfarmwife@gmail.com (and has no fees!) Rain: Dara: BioMat: http://medicalbiomats.com/ Breast Cancer
  Alternatives: https://www.facebook.com/groups/1120264538013507/ Thank you! And have an enlightened day! Beth
  :) Founder BCA","1,815",of $2.2k goal,https://fundrazr.com/91KC11,BioMats for Rain AND Dara!♥,61,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",450,of $349 goal,https://fundrazr.com/21KBF3,Billy's Birthday Glasses,7,,U.S. Dollar
"Many of you know my dad, Randy Greeson. Many of you personally know
  him. If you know one thing about him it is that he works his butt off
  every single say to provide for always his family first. I am the
  lucky daughter of this man and I am here asking for your help. My dad
  lost his job in 2016. He put his pride aside and him and my mom came
  and lived with us. He lost his house, his job and his dog all in one
  year. Since moving down here he has had ups and downs but still
  continues to work his butt off. He puts family first and many of you
  may not be blood family but, you sure felt like you belonged in his
  house. I need help raising money for these glasses for my dad. I think
  2018 should be positive for him and to see it in color would help the
  his outlook on life. He would finally be able to see how beautiful my
  mothers eyes are, and even the simple things such as green trees.
  Please help me make my dads future bright and help me make it known to
  him how much love and support he has in his life.",349,of $349 goal,https://fundrazr.com/11Jbp9,Help Dad see his future in color,3,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",230,of $349 goal,https://fundrazr.com/01JPQ9,Help Thom see how bad his colour choices are,12,,Australian Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",270,of $200 goal,https://fundrazr.com/a1J5Ba,Please help Jan see color for the first time ever!,5,,U.S. Dollar
"Hey Everyone! For those of you who don't know, my 5 year old son Victor is
  Protan color blind. What does that mean? To break it down, he can see some colors but not most. For example, super bright shades
  of color he can usually pick up on so long as the lighting in the room
  or outside is good. Other shades of color (especially darker colors)
  all begin to look the same. Some examples? I asked my son to
  tell me what colors the following texts are. These are the colors and
  his responses: What color is this? Orange! So what color does this look like to him? Green! How about this color? What
            does he see? Purple! What color does he see here? Brown He knows that he is color
                blind but doesn't really understand it. How do you explain to
              someone that the color they see isn't really the color
              they see? Being color blind has
                caused interference with his lessons and daily play. He does the best he can
                despite being color blind and reassures me when he
                sees the look on my face. The one I get when I'm too heartbroken to let him
                know he got a color wrong. Like the day we drove by an
                orange excavator. He loves excavators and gleefully
                pointed it out. Only, he called it blue. I asked him to
                repeat what he had said. He hesitantly told
                me...""blue?""... I tried to put on my most
                cheerful voice and tell him he was right, that it was a
                beautiful blue excavator. But he knew already that he
                had gotten it wrong. I have a terrible poker face. He
                smiled and told me that it was ok because I was going to
                buy him super hero glasses so that he could see colors.
                I cheerfully agreed with him hoping he didn't hear my
                voice crack from the strain of trying not to cry. My pain that day wasn't from my son being color
                blind. My pain was from the promise echoed from my son.
                That Mommy will buy him ""super hero glasses""
                so that he can see colors. I made him that promise the
                day we found out he was color blind. And I have worked
                so hard ever since that day to make good on my promise
                to my son. Wouldn't you know that life keeps getting in
                the way? I'm sure everyone who reads this will
                understand what I mean by that. Every single time my
                husband and I start gathering up enough spare money to
                buy our son his Enchroma glasses something happens to
                set us back financially. Car dying, expensive dental
                care, new roof, etc, etc. The list continues as life
                continues. It's beyond frustrating to begin with for
                anyone. But to know that every time something happens it
                is another month (and another, and another, and
                another...) that I can't make good on my promise to my
                son... well that, as I'm sure you already know if you
                are a parent, is gut wrenching. To the point where I'm
                now doing something I never thought I'd do...I'm asking
                for help. I've never met anyone who likes asking
                for help including myself. Sure I'll ask for help
                reaching something too high up or perhaps an extra hand
                to help carry in the groceries. But humbling myself to
                ask for help on a financial level is something I try to
                avoid doing at all costs. However, for my son, I will. So if you are reading this, and if you have any
                capacity and desire to help, I am asking you for it. I
                do not ask lightly. I really doubt I'll ever be able to
                pay you back which is why it makes this so hard for me.
                I don't mind asking for something I can repay. It's
                having to ask people for nothing more than their sheer
                kindheartedness and generosity that humbles me because
                it leaves me feeling as vulnerable as a sinner asking
                The Lord for forgiveness. I feel unworthy of it. I
                question if I even have such a right to ask for it. Yet,
                out of hope, I ask anyway. If you are wondering,
                the color blind gene is carried from the mother's side.
                My father is also Protan color blind. I want desperately
                to buy him glasses too. He told me to worry about my son
                first and not him. If (for some miracle) this campaign
                actually goes far enough to get money for two glasses,
                you bet I'm getting them for my Dad. I want him to see
                the true colors of a sunset after 70 years of not really
                knowing what it is he's been seeing all this time. I'm already asking for so much...but if you can
                help either financially or by spreading the word by
                sharing this campaign for me I will be truly grateful
                beyond expression of words. My deepest gratitude
                goes to you. May you have a Merry Christmas and a Happy
                New Year. And, even more, may you have a happy life
                where you can truly see the beauty of the world around
                you. Love, Genna Harris Check out these reactions",350,of $349 goal,https://fundrazr.com/d1J010,Help us give our son the gift of color.,10,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",100,of $400 goal,https://fundrazr.com/SeeInColor,Help my boyfriend see Christmas,2,,U.S. Dollar
"My name is Stefani, better known as ""Delia Melody,"" from my
  YouTube channel on trans rights, and writing for the Huffington Post's
  Queer Voices column. Earlier this year following evidence of being
  stalked, I was raped, and survived an attempt to drug me and leave me
  in a trap-house by certain individuals, some of whom have personally
  *claimed* connection to my ex-wife's family. For the past 10 months, this has left me mentally shattered,
  without support from many of my previous network who have withdrawn
  from me on account of respectability politics and rumors, and moving
  from place to place all over the country in an attempt to find any
  sense of stability and rebuild my life, which has made finding
  additional work (which was previously unnecessary), incredibly
  difficult when coupled with the obstacles my transness and
  neurodivergeance (I suffer from clinically diagnosed PTSD, and
  Adjustment Disorder, which I am also currently unable to afford
  treament for), already place on me. I am raising these funds to afford my medically necessary, and
  prescribed Hormone Replacement Therapy, consisting of Finasteride and
  Spironolactone for Testosterone blocking, and Estrogen and
  Progesterone, and prescribed by my endocrinologist and Planned
  Parenthood on the basis of my biological necessity for this treatment
  as an intersex transgender woman. Being on these hormones has a
  positive effect on my mental stability, and physical wellbeing. Having
  to go without them is inadvised, and results in documented mental
  instability, depression, and uncontrollable anger, and physical
  deterioration, including muscular atrophy, rapid weight loss on
  account of an inability to maintain healthy body fat, chronic
  diarrhea, and immune system compromise. If you can help at all, I'm asking that you please do. I don't
  like having to crowdfund for this need, it's a huge blow to the pride
  I take in my work, and myself, but I also recognize that in a
  situation like this, it is important to be able to recognize when I
  *must* swallow my pride and seek the help I need. I know that my
  friends and family care about my wellbeing, and recognize that this is
  not a matter of choice, or comfort, but an unfortunate medical need on
  the basis of my inherent biology, having been born the way I was, and
  I know that with your help, we can get me back on track. Thank you for
  your help during this difficult transitionary phase. (No pun intended)",255,of $250 goal,https://fundrazr.com/DeliaMelodyHRTFund,Please Help Delia Pay for Her Necessary Hormones,5,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",385,of $599 goal,https://fundrazr.com/f1I321,SHHH! Help James see colors for the best Christmas,7,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",125,of $429 goal,https://fundrazr.com/91ImNb,Help David get Enchroma glasses,2,,U.S. Dollar
"OUR GAME PLAN We are looking into effective alternative treatments to try to
    save Mom's life. She needs cancer-killing herbs, roots, oils, a raw
    foods diet, and we might even consider a trip to the States to a
    cancer clinic that has had a high success rate in treating people
    with cancer, plus we’re trying to get her moved back to B.C. so she can be
    near to family during this difficult time. The costs she faces are considerable, and unfortunately,
    alternative treatments aren’t recognized or covered under most
    health plans, and standard treatments also entail costs, both of
    which are looming on the horizon. Mom has grappled with health problems for years and suffers with
    pain each day, and yet in spite of this, she has reached out to help
    others heal emotionally. I’m praying that in her time of need, her friends and
    acquaintances will come to her aid. This would pave the way for her to get the treatments she needs
    to win this terrible battle she faces. ABOUT MY MOM From an early age, Mom shared a deep bond with animals. She
    traveled to the tropics and was captivated by the parrots there. In
    later years, she worked with abused parrots and rehabilitated them,
    teaching them to trust and love again. My mom has always been deeply touched by music and she is a
    talented guitarist and plays the piano. One of her favorite piano
    pieces is Clair de Lune by Debussy. She’s also an author and needs more time to finish and publish
    the books she was working on before she fell ill. She is my mother and a loving grandmother and we don't want her
    life cut short, nor have her torn away from us. One of her greatest
    wishes is to have more years to spend with us. LET’S HELP MAKE HER WISHES COME TRUE If you decide to donate to this fundraiser, any gift, whether
    large or small, will be deeply appreciated, and we thank you from
    the bottom of our hearts. Your actions may make a huge difference to
    Mom’s life and to all those who care about her and who don’t want to
    lose her.","1,650",of $20k goal,https://fundrazr.com/41FO1c,PLEASE HELP SAVE MY MOM,14,,Canadian Dollar
"Braden needs a heart transplant and has other disabilities. Funds are
  being raised to improve his quality of life so he can live as normally
  as possible and have access to everything he needs to improve
  everyday. Here is his story: Braden was born December 7th, 2009. He was diagnosed in utero with
  Coarctation of the Aorta (CoA). After he was born, things seemed to
  improve and we were sent home from the birthing hospital. Two days
  later, December 14th, 2009, we saw our pediatrician for a routine
  check-up. Dr. Setia discovered Braden had no palpable pulses in his
  legs and we were immediately sent to Pediatric Cardiology Services,
  the office of Dr. Videlefsky’s office. Once arriving there, an
  Echocardiogram and EKG were performed. Dr. V confirmed our fears.
  Braden was then transferred to Children’s Healthcare of Atlanta at
  Egleston. We handed over our perfect, beautiful baby boy to the
  Cardiac Intensive Care Unit staff. A few hours later, we were allowed
  back into the CICU to see him. He looked so pitiful. He was hooked up
  to so many machines and had IVs and oxygen. It was absolutely unreal
  to see him that way. We were told the Coarctation of the Aorta was
  present and they would be performing surgery. On December 16th, at 9 days old, Braden had his first heart
  surgery. The CoA was repaired. The surgeon also discovered Braden had
  a Hypoplastic Aortic Arch. They did a left subclavian artery flap to
  repair it. This means Braden has no artery in his left arm, they told
  us his body would compensate for the loss. He struggled post-op and
  remained on the ventilator longer than we expected. Once it was
  removed, he drastically declined and they had to intubate him again.
  He slowly began to recover again and finally made it to the step down unit. Finally, on December 23rd, we were able to take our precious
  baby home, just in time for Christmas. He was too weak to suck a
  bottle so he came home with a Nasogastric tube for the majority of his feedings. Unfortunately, on January 4th, Braden began to drastically
  decline and we rushed him into CHOA. Pressures in Braden’s lungs had
  changed and it revealed several VSDs in his heart also known as Swiss
  Cheese VSDs. He underwent his second heart surgery on January 12th,
  2010. The surgeon placed a Pulmonary Artery band to help slow the
  blood flow to his lungs. After struggling yet again to come off the
  ventilator, and needing to be re-intubated, we finally returned home
  on January 19th. Sadly, our stay at home was short lived. Something
  was not right with Braden. We made several trips into the ER for
  respiratory distress. Braden was once again readmitted to the
  hospital. After staying for a week, it was discovered that Braden was
  micro-aspirating. He was aspirating bits of everything he ate, along
  with reflux coming up from his stomach. On March 11th, 2010, Braden underwent his 3rd surgery. He had a
  Nissen Fundoplication and a G-tube inserted. The Nissen Funoplicaton
  wraps the top of the stomach around the bottom of the esophagus to
  tighten things up so nothing can come up from the stomach. He finally
  came home, but was on oxygen due to issues with his pulse ox after all
  the damage that was caused to his lungs. He remained on oxygen for 9
  months. We continued to follow up with our cardiologist, pulmonologist
  and Gastroenterologist. Braden had several hospital admissions from
  his discharge in March until July. In July 2010, Braden underwent a
  heart cath to check things over. We were very blessed to have been
  able to avoid the hospital from August-November .Braden finally was
  strong enough and was removed from Oxygen in November. In December 2010, Braden had another heart cath. It revealed
  that the Pulmonary Artery Band was ready to be removed. On January
  11th, 2011, Braden underwent his 3rd heart surgery and 4th overall
  surgery. The Pulmonary Artery band was removed, an ASD was closed and
  approximately 6 VSDs were closed as well. There was some damage done
  to his heart in the form of dilation and thickening of the heart
  muscles. It was thought to be related to the Pulmonary Artery banding
  and we were optimistic it would slowly improve as time went on. We
  continued to follow up with our doctors, mainly Cardiology. In April
  2012, a heart cath was done. It showed signs of (RCM) Restrictive
  Cardiomyopathy but no official diagnosis was made. We didn’t get
  discouraged and continued following up with the cardiologist. In July, 2012, Dr. Videlefsky recommended we make a visit to
  Dr. Mahle, Egleston’s Transplant doctor. Our lives changed in a way
  they had never changed before. Dr. Mahle not only confirmed the
  diagnosis of RCM, but told us our only option for Braden would be
  transplant. As long as Braden remains stable, we can avoid the
  transplant list but at any time, he could decline. We aren't promised
  tomorrow so we live today! We live each day holding our breath but try to enjoy every
  moment we can with him. We ask for prayers to keep our son stable as
  long as possible. The doctors are projecting that Braden will be
  listed and possibly transplanted within three years from when he was
  diagnosed. We have faith we can go much longer than that, but again,
  no one knows how long we have. Along with the heart defects, Braden carries the clinical
  diagnosis of Noonan Syndrome. This was a spontaneous mutation within
  the genes. He also has hypotonia, reflux, has a feeding tube in his
  tummy, moderate speech delays, oral aversion and moderate sensory
  integration. If you ask him, he will tell you ""I get a new
  heart"" We try our best to help him understand so he isn't fearful
  during appointments and procedures.",115,of $10k goal,https://fundrazr.com/dkI0b,Help Braden fight RCM,5,,U.S. Dollar
"We are having a really tough time, my health care is at a stand still
  and my son is choosing to keep bills up instead of his health care.
  Neither of us should be going without care. We are dealing with cancer
  and type one diabetes. We are doing all we can ,but can't seem to keep
  up. Any help at all is greatly appreciated!!!!",905,of $2k goal,https://fundrazr.com/71HLdb,Choosing between health care and bills,13,,U.S. Dollar
"My name is Manichanh, I am a part of a small group of health care
  workers whom are passionate about our global community and improving
  the lives of others. In addition to providing services locally, we
  also travel to one of the poorest neighborhoods in Guatemala where we
  support The School of Hope through Education for the Children. http://www.eftc.org.uk/our-work We strive to better communities by empowering those disadvantaged. On
  September 29th, 2016, our group will be traveling to Jocotenango,
  Guatemala to support this sustainable program that is changing
  outcomes for hundreds of children. We are covering our travel and all
  associated expenses. We support this school and local clinics who
  provide additonal care to the surrounding community at large. We are
  working to strengthen community ties. We have worked and will continue
  to work with two local community clinics whom also aid this program. http://www.rekko.org/index_en.html http://www.buckner.org/our-work/guatemala On November 19tth, 2016 we are hosting a fundraiser at the Yakima
  Sports Center. We will be sharing our stories while hostng a silent
  auction and games. Please help us with this fundraiser that will
  enable hundreds of empoverished children obtain access to healthcare. We support children and their future. People (specifically children)
  are the best investment. We support Escuela Proyecto La Esperanza (The
  School of Hope) in Jocotenango, Guatemala because of their ideals and
  accomplishments. In order to improve a population you need empowerment
  and independence. The proven form has been education. This school provides that. Furthermore they understand that
  supporting a child whom faces countless socioeconomic and
  psychological barriers requires a holistic approach. What these
  children face on a near daily basis makes all of our life obstacles
  seem pity. The staff and volunteers here are committed. It's no secret that we
  hold teachers and social workers in the highest regard. The people
  here are an outstanding example of why we feel this way. They
  genuinely care and love the community in which they are improving.
  They sacrifice so much for others. This is a long term and sustainable
  commitment. They aren't going anywhere unless these socioeconomic
  issues are resolved. If you are able, please help us and help spread the word. Any and all
  help is greatly appreciated! Please contact me direclty with any
  questions or concerns. Attached below is our flyer and items to our
  growing lists of items to be presented at our silent auction! Best to you all! Manichanh Ratts Gift basket from the wonderful Heather at Lollihops! http://www.yakimahopcandy.com Gift certificate from super star Dr. Yami Lancaster's awesome
    practice! http://www.nourishyakima.com/about-me.html Gift certificate from the beautiful Alex at her salon! http://alexandrasonsecond.com Gift certificate from the loving Jennifer through her massage
    practice! https://www.facebook.com/ReNu-U-Massage-Studio-173177462290/ Gift basket full of skin care goodies from loving Laura Hoffert! https://www.rodanandfields.com Gift certicate for skin care products from the amazing Amber
    Francis! https://www.rodanandfields.com Custome made slimline pen and a bottle stopper through crafty
    Chris Joyce! https://www.etsy.com/shop/joycecustomdesigns Gift certificates for bicycle services valued at $65 each from the
  rad guys at Revolutoin Cycle! https://www.facebook.com/Revolution-Cycles-228604440350/ Awesome bottles made right in the USA donated by Liberty Bottles! http://www.libertybottles.com Voucher for a Ferrari or Lamborghini Driving Experience with The
  Motor Sport Lab. Choose between a Lamborghini Gallardo or a Ferrari
  360 Modena at either Emerald Downs Raceway or Portland Internatial
    Raceway. http://www.motorsportlab.com Cerficiate for a couples photo session from talented Lexi Crews! https://www.instagram.com/lexnicolephotography/ Gift certicate from the lucious Lincoln Avenue expresso! https://www.facebook.com/Lincoln-Ave-Espresso-104083722986955/ Membership from Pro-Motion Gym! http://pro-motionfunctionalfitness.com/free-seminar-floor-of-the-core/ Camelbak pack valued at $109 from Bearded Monkey in Yakima!
   (formerly named Valley Cycle) http://valleycyclingandfitness.com Gift basket from Hugo Perez and Helen Taylor. Partylite gift basket from Rebecca Brown. Scentsy gift from Therese Brown valued at $85 Fresh box of honeycrip apples from Doornink Fruit Ranch valued at $100. Purses from Taylor'd Footwear and Bonzis. Valued at $60 each. http://www.taylordfootwearwa.com/home.html https://www.facebook.com/atbonzis/ Authentic blanket, paintings, and coffee from Guatemala! Neon sign (valued at $350), mirror (valued at $150), and cooler/raft
  combo (valued at $75) donated by Roque Marichalar from Columbia
    Distributing! http://www.coldist.com/","7,635",of $6.1k goal,https://fundrazr.com/e19iH6,Health Care for The School of Hope,55,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",200,of $349 goal,https://fundrazr.com/01Hyjd,Help me get Enchroma glasses!,2,,U.S. Dollar
"Ashleigh has been diagnosed with Osteosarcoma, an extremely rare form
  of childhood bone cancer, with only about 600-800 cases per year. Ashleigh has been fighting this disease for 3 years, but now she is
  entering the biggest fight of her life.  The cancer is attacking her
  agressively, angrily, and ruthlessly.  Please pray for her and her
  family, for He is the mighty physician who can heal all. If your heart moves you to donate, please know all funds go directly
  to her family to help pay for her Bucket List .","11,361",,https://fundrazr.com/3eAB0,Help Ashleigh's Fight,,,
"We have an amazing friend who
      has been through a lot with us. He has been friends with my
      husband since 6th grade. When I started dated my husband, he
      accepted me right into the group. When it came time to get married
      he was there to officiant the ceremony both times. He helped
      support my husband when his dad passed. And more recently was
      there to help us lay his mother to rest as well. He has accepted
      and loved our son as his own. He is the best god father we could
      have ever asked for. Andrew is engaged to a wonderful
      lady and set to marry his gorgeous fiance in a year. He already
      believes she is beautiful, but what better gift could you receive
      for your wedding than to be able to fully see the woman that you
      love. I would love to let him see all the fall colors, the glory
      of his wedding, and his beautiful blushing bride. Thurman, as we
      all know, is colorblind. He doesn't let this hinder him in anyway.
      Giving him these glasses would only enhance his experiences and
      make his wedding even more memorable. WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",270,of $349 goal,https://fundrazr.com/SeeTheBride,Let a groom SEE his bride in all the glory,8,,U.S. Dollar
"Dear People, My name is Eva. I have 2 children.  I got serious health  problems. 
  I was diagnosed ventricle dilatation and cystins in my brain.  This
  causes further difficulties in my everyday life and modifies normal
  actions and behaviours. This problem also resulted in serious incontinence. I can not pay my medical expenses at the doctor and the
  hospital, paying for my treatments and even for every day life is
  getting impossible! I just started to get desperate with how things
  are.  The problem is I can not go to work and i run out of money quickly. I just want to have some help for my expenses. Please help in anyway! I really want to get healthy again and i want
  to be very grateful to everyone who tries to help me! For any further info please text me, my email kec.eva7@protonmail.com Kind regards God blesses you! Eva",100,of $800 goal,https://fundrazr.com/71ITS0,Help Eva's brain recovery and medical expenses!,1,,U.S. Dollar
"C O L O R S F O R T H E B R O Adib is awesome. And so are his
    friends. Lets do this for him :) OBS! THIS IS A SECRET! Let's tell
      it to him on his quarter life birthday (5th November)! WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",375,of $349 goal,https://fundrazr.com/21I37b,Lets give the tall bro the gift of color,16,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",105,of $375 goal,https://fundrazr.com/01INu4,Hoping to give my brother the gift of color!,2,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",360,of $349 goal,https://fundrazr.com/91IXZc,"Enchroma Glasses for Dad, Jim Z.",5,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",110,of $349 goal,https://fundrazr.com/colorchampionsforcecil,Let's help Cecil Pilgreen see the world in color!,4,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",350,of $349 goal,https://fundrazr.com/91I0Q1,Help us get Enchroma glasses for Liam,7,,U.S. Dollar
